externalcode;identificationstate;state
11446446;FULL;ACTIVE
11446569;FULL;ACTIVE
11447771;FULL;ACTIVE
11448099;FULL;ACTIVE
11452928;FULL;ACTIVE
11458531;FULL;ACTIVE
11500827;FULL;ACTIVE
11515531;FULL;ACTIVE
11520955;FULL;ACTIVE
11523208;;ACTIVE
11523413;NOTIDENTIFIED;ACTIVE
11523666;FULL;ACTIVE
11525981;FULL;ACTIVE
11526414;FULL;ACTIVE
11529224;FULL;ACTIVE
11531227;FULL;ACTIVE
11545040;FULL;ACTIVE
11547716;FULL;ACTIVE
11548676;NOTIDENTIFIED;ACTIVE
11551423;FULL;ACTIVE
11556862;FULL;ACTIVE
11556954;FULL;ACTIVE
11556992;NOTIDENTIFIED;ACTIVE
11557012;FULL;ACTIVE
11561453;FULL;ACTIVE
11562955;FULL;ACTIVE
11563068;;ACTIVE
11563082;FULL;ACTIVE
11563105;FULL;ACTIVE
11563143;FULL;ACTIVE
11563150;;ACTIVE
11563174;FULL;ACTIVE
11563181;FULL;ACTIVE
11563198;FULL;ACTIVE
11563204;FULL;ACTIVE
11563211;FULL;ACTIVE
11563228;FULL;ACTIVE
11563235;;ACTIVE
11563259;FULL;ACTIVE
11563273;FULL;ACTIVE
11563280;FULL;ACTIVE
11563310;FULL;ACTIVE
11563327;;ACTIVE
11563365;;ACTIVE
11563396;FULL;ACTIVE
11563426;FULL;ACTIVE
11563433;FULL;ACTIVE
11563457;;ACTIVE
11563464;FULL;ACTIVE
11563488;;ACTIVE
11563495;FULL;ACTIVE
11563501;FULL;ACTIVE
11563518;FULL;ACTIVE
11563556;FULL;ACTIVE
11563570;;ACTIVE
11563587;;ACTIVE
11563594;FULL;ACTIVE
11563600;;ACTIVE
11563617;FULL;ACTIVE
11563624;FULL;ACTIVE
11563648;;ACTIVE
11563655;FULL;ACTIVE
11563662;;ACTIVE
11563679;;ACTIVE
11563686;;ACTIVE
11563693;FULL;ACTIVE
11563709;FULL;ACTIVE
11563730;;ACTIVE
11563747;;ACTIVE
11563754;FULL;ACTIVE
11563778;FULL;ACTIVE
11563815;;ACTIVE
11563822;FULL;ACTIVE
11563839;FULL;ACTIVE
11563853;FULL;ACTIVE
11563860;;ACTIVE
11563884;;ACTIVE
11563891;FULL;ACTIVE
11563907;FULL;ACTIVE
11563914;FULL;ACTIVE
11563921;NOTIDENTIFIED;ACTIVE
11563938;FULL;ACTIVE
11563952;FULL;ACTIVE
11563969;FULL;ACTIVE
11564003;;ACTIVE
11564010;FULL;ACTIVE
11564065;;ACTIVE
11564096;;ACTIVE
11564102;FULL;ACTIVE
11564119;FULL;ACTIVE
11564164;;ACTIVE
11564171;FULL;ACTIVE
11564232;FULL;ACTIVE
11564249;FULL;ACTIVE
11564287;;ACTIVE
11564300;FULL;ACTIVE
11564409;FULL;ACTIVE
11564423;FULL;ACTIVE
11564447;FULL;ACTIVE
11564478;FULL;ACTIVE
11564492;;ACTIVE
11564508;;ACTIVE
11564539;FULL;ACTIVE
